DATAFLOW,FREQ,REF_AREA,DATA_TYPE,CHANGE_OF_RESIDENCE,CITIZENSHIP,SEX,AGE,TERRITORY_NEXT_RESID,COUNTRY_PREV_RESID,COUNTRY_NEXT_RESID,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_CHANGE_OF_RESIDENCE,NOTE_CITIZENSHIP,NOTE_SEX,NOTE_AGE,NOTE_TERRITORY_NEXT_RESID,NOTE_COUNTRY_PREV_RESID,NOTE_COUNTRY_NEXT_RESID,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2006,2,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2008,6,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2009,6,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2010,1,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2011,4,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2012,4,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2013,13,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2014,3,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2016,2,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2017,2,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2018,6,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2019,6,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2020,3,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2021,3,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2022,8,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_GE65,ITTOT,X1033,X1033,2023,9,p,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2002,128,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2003,131,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2004,159,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2005,205,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2006,155,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2007,186,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2008,187,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2009,159,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2010,138,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2011,139,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2012,91,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2013,86,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2014,71,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2015,71,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2016,55,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2017,86,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2018,83,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2019,76,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2020,54,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2021,83,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2022,121,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y_UN17,ITTOT,X1033,X1033,2023,200,p,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2002,362,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2003,718,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2004,856,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2005,391,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2006,360,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2007,415,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2008,518,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2009,607,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2010,750,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2011,665,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2012,594,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2013,541,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2014,412,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2015,394,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2016,365,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2017,388,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2018,412,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2019,407,,,,,,,,,,,,,,
IT1:28_185_DF_DCIS_MIGRAZIONI_2(1.0),A,ITTOT,TREG,FREIGN,TR,1,Y18-39,ITTOT,X1033,X1033,2020,414,,,,,,,,,,,,,,
