DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2014,70.5,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2015,71.0,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2016,70.7,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2017,70.8,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2018,71.5,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2019,68.4,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2020,65.0,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2021,68.4,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2022,71.9,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,M,Y15-64,PC_POP,TR,2023,72.7,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2014,53.1,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2015,53.6,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2016,53.5,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2017,53.8,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2018,54.3,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2019,51.3,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2020,48.3,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2021,51.2,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2022,54.8,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED3_4,T,Y15-64,PC_POP,TR,2023,55.9,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2014,61.4,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2015,60.9,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2016,60.3,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2017,60.5,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2018,60.6,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2019,59.6,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2020,56.1,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2021,57.8,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2022,59.9,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,F,Y15-64,PC_POP,TR,2023,61.1,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2014,81.5,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2015,82.7,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2016,81.4,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2017,81.8,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2018,81.3,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2019,80.5,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2020,78.8,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2021,80.6,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2022,82.1,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,M,Y15-64,PC_POP,TR,2023,84.2,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2014,72.8,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2015,73.0,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2016,71.9,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2017,72.0,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2018,71.7,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2019,70.8,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2020,68.0,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2021,69.6,b
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2022,71.2,
ESTAT:LFSI_EDUC_A(1.0),02/05/24 23:00:00,A,ED5-8,T,Y15-64,PC_POP,TR,2023,72.8,
