DATAFLOW,LAST UPDATE,freq,sex,isced11,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2020,12.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2021,10.9,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2022,9.4,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED3_4,Y15-74,PC_ACT,TR,2023,8.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2014,7.6,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2015,7.4,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2016,8.7,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2017,8.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2018,9.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2019,10.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2020,10.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2021,9.3,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2022,8.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,M,ED5-8,Y15-74,PC_ACT,TR,2023,6.7,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2014,9.3,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2015,9.7,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2016,9.9,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2017,9.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2018,9.9,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2019,13.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2020,12.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2021,11.0,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2022,9.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED0-2,Y15-74,PC_ACT,TR,2023,8.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2014,11.3,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2015,11.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2016,12.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2017,12.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2018,12.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2019,15.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2020,15.0,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2021,13.5,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2022,12.1,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED3_4,Y15-74,PC_ACT,TR,2023,11.3,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2014,10.5,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2015,10.8,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2016,11.8,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2017,12.4,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2018,12.2,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2019,13.5,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2020,12.6,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2021,12.4,b
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2022,11.4,
ESTAT:UNE_EDUC_A(1.0),02/05/24 23:00:00,A,T,ED5-8,Y15-74,PC_ACT,TR,2023,9.9,
