Year,F,M,T
2014,29.5,69.5,49.5
2015,30.4,69.8,50.2
2016,31.2,70,50.6
2017,32.2,70.7,51.5
2018,32.9,70.9,52
2019,32.2,68.3,50.3
2020,29.7,65.2,47.5
2021,31.8,68.6,50.3
2022,34.4,71.1,52.8
2023,35.5,71.9,53.8
